,NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B01001_001E,B01001_002E,B01001_005E,B01001_006E,B01001_007E,B01001_026E,B01001_029E,B01001_030E,B01001_031E,state,zip code tabulation area
1599,ZCTA5 13901,12801,162,0,0,0,0,13,0,10,108,57,191,205,308,243,2946,963,984,1420,1708,2029,1225,144,54,19230,9331,504,361,176,9899,705,356,331,36,13901
1600,ZCTA5 13903,12488,38,0,0,0,8,0,40,20,67,63,136,446,243,343,2670,949,937,1563,1517,1687,1336,220,183,18258,8966,399,263,234,9292,438,283,315,36,13903
1601,ZCTA5 13905,17205,369,0,0,0,0,0,87,132,70,197,214,423,363,336,3843,1014,1039,2214,1846,2469,1841,417,325,25890,12744,600,399,301,13146,352,392,310,36,13905
1602,ZCTA5 13026,1039,6,0,0,0,0,0,0,2,8,7,14,14,19,14,203,32,59,99,106,179,213,10,54,1677,865,28,18,45,812,28,21,46,36,13026
1603,ZCTA5 13028,817,3,0,0,0,0,0,0,0,0,0,8,41,0,0,240,94,80,125,152,17,57,0,0,1229,594,36,37,37,635,10,9,10,36,13028
1604,ZCTA5 13034,1388,9,0,0,0,0,0,0,0,4,19,15,46,19,16,363,102,73,200,163,206,132,15,6,2021,940,58,28,3,1081,66,44,30,36,13034
1605,ZCTA5 13036,6673,23,10,0,0,0,0,0,0,16,108,106,142,141,66,1991,506,562,720,1076,721,446,24,15,9064,4643,256,196,57,4421,173,171,63,36,13036
1606,ZCTA5 13041,8069,46,0,21,0,0,0,0,18,0,36,63,88,17,85,1816,139,362,997,1151,2127,874,200,29,11409,5419,447,204,62,5990,341,145,83,36,13041
1607,ZCTA5 13057,10500,53,0,25,0,0,26,0,36,12,87,81,122,175,320,2903,391,831,1427,1103,1761,846,221,80,13643,6575,264,247,95,7068,335,115,96,36,13057
1608,ZCTA5 13061,904,0,0,0,0,0,0,0,0,0,0,9,0,6,8,249,92,45,86,133,174,54,33,15,1087,603,8,18,17,484,9,0,5,36,13061
1609,ZCTA5 13066,9009,49,0,0,0,0,0,8,11,8,0,56,53,76,102,929,154,368,991,627,2428,1803,883,463,12525,6104,469,291,31,6421,286,314,61,36,13066
1610,ZCTA5 13082,3319,31,0,0,0,0,0,10,0,1,44,46,75,21,53,1010,154,322,446,520,373,181,27,5,4258,1955,92,51,25,2303,77,81,7,36,13082
1611,ZCTA5 13111,1231,26,0,0,0,0,0,0,0,22,9,48,90,3,3,584,75,93,65,93,74,30,16,0,1706,900,80,6,29,806,27,10,6,36,13111
1612,ZCTA5 13752,576,20,0,0,0,0,0,0,0,0,0,0,11,10,29,173,28,16,44,68,73,90,14,0,794,386,25,11,0,408,34,35,22,36,13752
1613,ZCTA5 13755,877,7,0,0,0,0,0,0,0,0,12,38,22,29,9,387,21,72,95,76,68,41,0,0,1127,579,50,20,0,548,15,13,12,36,13755
1614,ZCTA5 13777,272,0,0,0,0,0,0,0,0,0,0,0,13,16,4,108,28,17,44,9,21,6,6,0,347,191,0,0,0,156,6,0,0,36,13777
1615,ZCTA5 13786,294,0,0,0,0,0,0,0,0,3,18,0,2,3,0,131,12,48,11,20,34,12,0,0,365,212,8,10,4,153,3,0,0,36,13786
1616,ZCTA5 13787,2442,18,0,0,0,0,36,0,0,24,16,0,93,163,32,937,157,212,276,157,136,104,63,18,3342,1585,153,40,6,1757,221,103,19,36,13787
1617,ZCTA5 10282,3765,61,0,0,0,0,0,0,0,0,12,0,0,0,26,180,0,64,163,156,1464,1093,454,92,5783,2893,112,170,15,2890,174,70,0,36,10282
1618,ZCTA5 10301,26243,500,0,7,29,41,147,90,296,175,364,284,583,521,763,5399,963,1463,2842,1726,5320,3361,916,372,38280,18402,1093,803,538,19878,1018,735,447,36,10301
1619,ZCTA5 10307,10210,104,0,0,0,62,11,19,0,0,5,175,165,119,113,2377,328,565,1080,1144,2483,1123,279,58,14906,7194,510,331,243,7712,502,347,171,36,10307
1620,ZCTA5 10460,37477,1900,0,0,70,141,379,643,1290,480,1317,1616,1541,1804,1597,8093,2178,1401,5521,2435,3559,888,198,147,59432,27806,2216,1438,656,31626,2101,998,746,36,10460
1621,ZCTA5 10465,30708,836,4,0,15,35,164,220,421,156,513,380,484,491,850,7312,1646,1553,4340,2963,4374,3094,387,294,43671,21334,1433,878,742,22337,681,764,623,36,10465
1622,ZCTA5 10470,11581,273,0,0,19,34,31,0,103,90,301,185,205,302,495,2548,630,734,1156,821,2293,1102,140,113,15716,7215,396,135,101,8501,256,294,112,36,10470
1623,ZCTA5 10471,16338,246,0,0,18,0,21,51,121,61,169,161,139,154,305,2211,279,736,1822,741,3921,3219,1222,702,22422,10788,477,390,407,11634,498,166,509,36,10471
1624,ZCTA5 10503,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,62,73,0,0,153,62,0,0,0,91,0,0,0,36,10503
1625,ZCTA5 10522,7157,33,0,0,0,0,0,11,15,13,6,35,66,35,102,794,78,316,600,375,2014,1897,474,293,11070,5681,593,396,349,5389,283,228,254,36,10522
1626,ZCTA5 10543,14680,352,0,0,0,8,63,142,144,45,149,187,104,224,257,2359,266,447,1127,719,4101,2735,792,312,20951,10584,711,424,231,10367,632,454,158,36,10543
1627,ZCTA5 10006,2472,16,0,0,0,0,0,0,0,0,0,0,0,0,0,57,17,0,123,52,1000,594,532,81,3092,1467,35,15,9,1625,31,0,15,36,10006
1628,ZCTA5 10012,18349,139,0,0,58,0,29,46,46,44,104,117,39,126,180,986,338,258,845,475,8048,3583,1347,1498,23318,11133,250,181,144,12185,166,175,185,36,10012
